id;active;category_id;title;slug;headline;price;image;amount
1479314;1;15;Prezentacja z flipchartem – sposób na wyróżnienie się.;kurs-prezentacja-z-flipchartem;Praktyczny kurs dzięki któremu spotkania korporacyjne prezentacje i szkolenia zyskają na skuteczności.;144,99;https://img-b.udemycdn.com/course/480x270/1479314_0f99_3.jpg?secure=UM75C_QzW14APztTzgWX4Q%3D%3D%2C1607867144;1000
2699764;1;15;Poznaj swoją odporność psychiczną;odpornosc-psychiczna;Dowiedz się czy jesteś odporny czy wrażliwy psychicznie;69,99;https://img-a.udemycdn.com/course/480x270/2699764_32ac.jpg?fVtkrU-loUAWFiXQrAAetrjdSJZnIXhutUY2oGilw7pI4eudc8R7pSIzAAIkeSj2Ixqhco87-ScOhXLZa7l23qMjdEUBd4oIaleKRWkO4xUGl5Lbh5bpphmxxGQpKA;1000
3427444;1;15;Rozmowa o pracę po angielsku: 10 błędów i jak ich unikać;rozmowa-o-prace-po-angielsku-10-bledow;10 najczęstszych błędów kandydatów na rozmowie o pracę po angielsku - i jak ich nie robić!;69,99;https://img-a.udemycdn.com/course/480x270/3427444_7ccf.jpg?5EdV07p2VUPbN_DTqOhcgUlx3S8lbxAkzC6INEpwDvGa1W7p76TO2EUFVQUDLdoibq7OJwxjOYhwePpeCRbMZFBKbUQgzDtFY8aS__Ibnt1jH57hxkev3NYFwE4k0g;1000
2798266;1;15;ABC Inwestowania na Giełdzie;mine-street;Akcje Kontrakty Forex Kryptowaluty CFD GPW Wall Street;0;https://img-b.udemycdn.com/course/480x270/2798266_b32b_4.jpg?secure=t6frZMVdzs5FTOWj1CKRZg%3D%3D%2C1607867144;1000
2054923;1;15;Jak napisać idealny list motywacyjny;jak-napisac-idealny-list-motywacyjny;Co każdy powinien wiedzieć o listach motywacyjnych;69,99;https://img-a.udemycdn.com/course/480x270/2054923_2d5c.jpg?Y9Pt_U0RYiKpirvIVv4NN3FTrsFryIoxzk6Njdf5fq-BW9jahmx2RuRL2cinHXTk7x4bFKvP-IJ5VJ7uMydqy1U0khSIlrj9B0Kt_e5HdiYHbp3GTJXNUGl8eQ85oQ;1000
2367452;1;15;Budowa paznokci w kształcie Pipe. Metoda żelowa;budowa-paznokci-w-ksztacie-pipe-metoda-zelowa;Przedłużanie paznokci metodą żelową w kształcie PIPE;159,99;https://img-b.udemycdn.com/course/480x270/2367452_0938_2.jpg?secure=Z7IAEbDkjkoiDlNleWdjEQ%3D%3D%2C1607867144;1000
3587870;1;15;Kurs Model IDA czyli jak wygrywać rozmowy o pracę.;kurs-model-ida-czyli-jak-wygrywac-rozmowy-o-prace;Praktyczny kurs przygotowujący do udziału w procesach rekrutacyjnych według innowacyjnego Modelu IDA.;204,99;https://img-b.udemycdn.com/course/480x270/3587870_86a5_12.jpg?secure=rgkiTYf_DVE-jfPmWFY8IA%3D%3D%2C1607867144;1000
1893328;1;16;Retusz w Photoshop: Komercyjna Fotografia Lifestyle & Bikini;retusz-photoshop-komercyjna-fotografia-lifestyle-bikini;Naucz się Retuszu Komercyjnej Fotografii Bikini & Lifestyle w Photoshop Pracując na Prawdziwych Przykładach;479,99;https://img-b.udemycdn.com/course/480x270/1893328_7650_2.jpg?secure=KaiXXC3y650wWjSHSGvoWw%3D%3D%2C1607867145;1000
2505364;1;16;Jak Zarabiać na Ujęciach z Powietrza;jak-zarabiac-na-ujeciach-z-powietrza;Twój Przewodnik w Świecie Latania Komercyjnego;69,99;https://img-b.udemycdn.com/course/480x270/2505364_de41.jpg?secure=F5U5HNmZt4mpFG35jULDXg%3D%3D%2C1607867145;1000
1397578;1;16;Profesjonalne Gradowanie w Photoshop;profesjonalne-gradowanie-w-photoshop;Naucz się profesjonalnych technik pracy z kolorem w Photoshop - spraw by twoje zdjęcia się wyróżniały!;479,99;https://img-b.udemycdn.com/course/480x270/1397578_d74b.jpg?secure=LXRHuWaGGUwsq3Pj7ZuPiQ%3D%3D%2C1607856873;1000
2399700;1;16;Marketing online dla branży foto/video;marketing-online-dla-branzy-fotovideo;Dowiedz się jak rozwijać swój fotograficzny biznes wykorzystując potęgę social media oraz internetu. Pozna sekrety re;69,99;https://img-a.udemycdn.com/course/480x270/2399700_00b3.jpg?c8mT-i5ymfX1evu4rHU-v6ErmDvYNZ4pbVqHDSoFun2HWda9z8Pn1z9tmgxd841touM7a6YkBR5h3eRtF4YHbg-qthSn79ofiCnRuztgsn_Pff6AuVd3vNhMimrhwQ;1000
3646453;1;16;Kurs Tworzenia Wirtualnych Spacerów i Rzutów Nieruchomości;kurs-tworzenia-wirtualnych-spacerow-i-rzutow-nieruchomosci;dla osób początkujących;479,99;https://img-a.udemycdn.com/course/480x270/3646453_4cc4.jpg?omWgpgLEi8WWCjY-Ub3jy7n48w9Z7xZ_QZiYLvs7L3wkrTUPrkx9R_cRpVi8uqVccvVtzMcMgme3Wmq_8cIKbagp4gM50IB2jfGdlCFls0WRXOq02MXRf130npNrwg;1000
2535616;1;17;ABC Networkingu;abc_networkingu;ABC Networkingu …czyli 6 kroków do sukcesu w relacjach biznesowych (plus bonusy!);259,99;https://img-a.udemycdn.com/course/480x270/2535616_448a.jpg?oMiP67S0OYNJe6NUiKx9nnwDGtUcqG5FuME3Yfowf_08qeCVSRCGUN6SA97BvCUsqSv83vuNtPn6NzIq4xdGhlub8X1SKlk8Cb-mV5Q9UOSnjxm_VmZUzkm-nlZ59A;1000
3041376;1;17;Networking w Trakcie Kryzysu;networking-w-trakcie-kryzysu;Czyli jak tworzyć i utrzymywać relacje online;69,99;https://img-a.udemycdn.com/course/480x270/3041376_10c1_2.jpg?nPfgx1d1foUlF07utPGwO2gj9Ek_BsYtU98f8O9u9eBHIdtJzjIblR9qwJBNoWVm96nEYBBn8RmuAv-7NB4BpBxbbhYeM4qBlghjcsOCjAACoJa4pjTyyVbBQ-60iSPa;1000
2660196;1;17;Profesjonalna Obsługa Klienta dla Pracownika i Pracodawcy;profesjonalna-obsuga-klienta-dla-pracownika-i-pracodawcy;Zostań Profesjonalistą w Obsłudze Klienta i zdobądź Zdalną Pracę Marzeń!;114,99;https://img-b.udemycdn.com/course/480x270/2660196_5367.jpg?secure=eTd56EwsAkqzlTrGqgUk4g%3D%3D%2C1607868516;1000
2879030;1;17;Mowa ciała w wystąpieniach publicznych;mowa-ciala-w-wystapieniach;Jak dzięki mowie ciała obudzić w sobie pewność siebie swobodę entuzjazm oraz budować autorytet w oczach słuchaczy.;239,99;https://img-b.udemycdn.com/course/480x270/2879030_fd3f.jpg?secure=1zp4lfZFqftlsz4NJ0RAJA%3D%3D%2C1607868516;1000
3600006;1;17;Ekspresowy kurs wystąpień publicznych;kurs-wystapien-publicznych;Pozbądź się tremy przygotuj wystąpienie i przeprowadź je! Trzy kroki do prezentowania przed publicznością.;0;https://img-a.udemycdn.com/course/480x270/3600006_d8f8.jpg?zp0WSLYwK0JBl7hoU1fkPEsBJ2ExaIi_6K1LboG0185q9Tq9pJxO3TJtYS8_cFV5NlHaG1GRxrMnnbMgX_SJEwtYu-Xl3Gc7UGCffbdBwQx0bRvbC9YYK1jVJU2T8w;1000
