2742232;1;8;Kurs Autodesk Fusion 360 dla początkujących;kurs-autodesk-fusion-360-dla-poczatkujacych;Ten kurs stanowi fundament pracy z programem Fusion 360;129,99;https://img-b.udemycdn.com/course/480x270/2742232_126f.jpg?secure=vNUy4SQp_7gH70ltAsnNkw%3D%3D%2C1607878334
1764458;1;8;Lumion 10 Kurs Kompendium;lumion-8-kurs-kompendium-pl;Pełne szkolenie z programu Lumion;129,99;https://img-b.udemycdn.com/course/480x270/1764458_85a2_2.jpg?secure=G9oejCp7F46Ft0ym2-63fA%3D%3D%2C1607878334
1882922;1;8;Kurs AutoCAD;kurs-autocad;sam tworzę profesjonalne projekty;599,99;https://img-a.udemycdn.com/course/480x270/1882922_3ecd.jpg?kzTmOtivsvr8YoC_buYtKj00DYitdk7XDng00un_5uBHWBcXg2rJfh3G_1t6BQe4x5Uq2ps8mDVfvZ0tSl9gILeS2TkvwRZByr2eS6-sBKOgU5myebd6imx5DsiK1w
2609310;1;8;Kurs wizualizacja mieszkania w Sweet Home 3d;kurs-wizualizacja-mieszkania-w-sweet-home-3d;Zaprojektuj swoje własne wnętrze mieszkania wyznacz ściany dodaj okna i drzwi. Stwórz wnętrze mieszkania w Sweet Home;84,99;https://img-a.udemycdn.com/course/480x270/2609310_f1ea.jpg?3I3cZ23Yis5Z9uCIVfzcTn8afMeBGPZ12Gi1PkkwsOpDnM2g9SxutoPsw7gqM4mGnvQB7dulCEGvMNyvl_h3zmrJJsayKG64TtmZl6QrKg3_cvnpyX45grTyY78w1Q
2172800;1;10;Uzupełnienie paznokci. Metoda żelowa;uzupelnienie-paznokci-metoda-zelowa;Poprawne techniki uzupełniania sztucznych paznokci metodą żelową.;299,99;https://img-a.udemycdn.com/course/480x270/2172800_9ea4_2.jpg?F8qRGeXDMU8RMD_-bEYh6cT_jkXs0Cy-5Iilq3Lxi2aEoNz-mtY_c4z_wcggRg-C2AbyMK0SNzNJGEQ2LgMKFOMp8VNwbXXzf1k03hh6ui_gZFwzGR_Dd5v8jF46EVBd
3450230;1;10;Kreska krok po kroku - Poradnik dla wizażystów;kreska-krok-po-kroku-poradnik-dla-wizazystow;Poradnik dla wizażystów;84,99;https://img-a.udemycdn.com/course/480x270/3450230_bb0c.jpg?3pSx52LTzGNgxfToJ5hCin8Dg832ayG6-58KWMKD0KdR4uXnHJSowgnfn-cvhtIOmCkn9A-Fl5xnn6WcufEc9kOuCCF0WvZWhB1APumMseCOqTR8kFqNEW1L937B5g
2114084;1;10;Aplikacja paznokci lakierami oraz hybrydami;aplikacja-paznokci-lakierami-oraz-hybrydami;Pokrycie paznokci lakierami oraz hybrydami w technice jednolitej oraz Francuzki manicure.;69,99;https://img-a.udemycdn.com/course/480x270/2114084_a1db.jpg?ftJYoXJlKIXnAoiJHYPqYcyrplilkw4scfTWUCrpjWPhj88MqOFgwu-DucMkg8z-zJ1FNi6SvKBwM-Vd1vfLdQhD8KFCr225rlKF5B62PHEVGl66eOO2Kv7J7p4WBw
3119878;1;10;Kurs fryzjera - Nauka strzyżenia męskiego w domu;kurs-fryzjera-nauka-strzyzenia-meskiego-w-domu;Nauka ścinania włosów dla każdego;84,99;https://img-a.udemycdn.com/course/480x270/3119878_6cb4_3.jpg?iTxTfWj4exXHS3dwz-BNytufeSGkRLDWAIHE6iU2IsovwHSaJSOW8gGpN2gv7545pME9wOPFErgQiLIBmd7bWcFDfrCiP0jE-hE4CfmGFwpq0otBtEDd-bZh9T2q0TCd
2966374;1;10;Tapirowanie włosów;tapirowanie-wlosow;Prawidłowa technika tapirowania włosów;69,99;https://img-a.udemycdn.com/course/480x270/2966374_8dc9.jpg?whPFpmjBpHFTiCI5mmChKkzLbT3Gcjql47IEnzaFeswrLjhWG7vtSnDJ3r3ipkqxu5aPn4ckiuYoiKp55l2T2IoRZzNObe8naOT2TgTtb6Ul2wWX4vrGh7Ls1nVuNA
2972008;1;10;Niskie upięcie boho;niskie-upiecie-boho;Kok z falowaną strukturą;129,99;https://img-a.udemycdn.com/course/480x270/2972008_a163.jpg?NNfq8MDtDkT4jZCn6zhFyZVKKCgdG9Yzq570h1MshWuZGSBbgc3eQjYH8TbiL7w_zLYu49XOnsLO1p1lHY-tq3XJBnONjIfIQ1DOPhPBEC5_MvRbO0yZuFcTVQYWIQ
2493308;1;10;Budowa paznokci salonowych kształtów żelem jednolitym.;budowa-paznokci-salonowych-ksztatow-technika-jednolita;Przedłużanie metodą żelową w kształtach: kwadrat migdał owal squo-owal gotycki migdał w krótkiej salonowej długości.;299,99;https://img-a.udemycdn.com/course/480x270/2493308_4188.jpg?xyloLB8yKP1jIKydXiF3j3P5lehooaZzOm6ldgLjQIUw1CNkCxI-2IjRWH4q99W3qHPbvLFP5YlYjT8iKnLDRnrY_lTcrC08LliJnU3-umKeMPMfx1tAqFItUy3jRw
2216812;1;10;Budowa paznokci. Metoda akrylowa.;budowa-paznokci-metoda-akrylowa;Przedłużanie metodą akrylową French w kształtach: kwadrat migdał sztylet Pipe Bridget Edge Butterfly;379,99;https://img-a.udemycdn.com/course/480x270/2216812_c41d_2.jpg?-jo0tRlLj1u9khTovXodRgZIguLjUbRtXOhapMLhuNybYPrsAlE3gdLjqg2pyjJeCZLtr9iD_8GGmRBrkTfqknYsMyB7UMRQeXHotobwe7Ga1F5iqhReTyxKJDhYE-td
2932590;1;10;UPIĘCIE A'LA WARKOCZ Z ELEMENTAMI ŻEBROWANIA;upiecie-z-elementami-zebrowania;Niskie upięcie;129,99;https://img-a.udemycdn.com/course/480x270/2932590_d926.jpg?va89jZ0oGwJWjHTVKr5ro49XbxMEUtf7SWzXrwlQaVCLjUGAsvNF4b-ZFUAXFhx0_72BzbhR1daz2W3aaJwW3E9nMbFAOP_1xNav_tW92lIGcJcYp87yyAyltFxBdA
2166962;1;10;Nail Art. Ornamenty 1 stopnia;nail-art-ornamenty-1-stopnia;Szkolenie z zakresu zdobień ornamentowych;174,99;https://img-a.udemycdn.com/course/480x270/2166962_0ad1_4.jpg?l1pC_dqi-_VvZ9HKJFzy5UIDraeCzRA00tbNkus4DxSv9cuUwXnNXmUksSbJo_EvzH9YW69eQnrBoGsSQdNRmL0y15AZEaBQTI-W09DOgYJt9TexJmzLENYmrfdTYAiM
2932564;1;10;KUCYK Z KRĘCONYCH WŁOSÓW;kucyk-z-kreconych-wosow;Upięcie w formie kucyka z rozbudowaną górą;129,99;https://img-a.udemycdn.com/course/480x270/2932564_3d5e_4.jpg?qpmRGlVn1gFFV9DOVhJLY9b4it2abWr7lpDvC-XymBo4OLHT4ef456XpYvmK7sGa1ho6ZKb-qJxr--E8xpAFDB5rxHycSKETzG-knvxfGqC1_DKHMULUn1f2Eza6Qgkr
2447766;1;10;Babyboomer bez tajemnic.;babyboomer-bez-tajemnic;Poznaj tajniki cieniowanego frencha;174,99;https://img-a.udemycdn.com/course/480x270/2447766_041a_5.jpg?aQhbkwKxb_5f9ExrwCDqcbU5kWWljW95lJ0DV8MpHESxX02SGOFUWPMmsXxZQUSFzg5CGS5ZMBe1yQEg6WBMFOjmAwOxWtaGRM6mFNLPXZ4Vk4UMjoXAmmIweOkw5CTW
2084346;1;10;Prawidłowe podkładanie szablonów by Viktoriia Klopotova;prawidowe-podkadanie-szablonow-by-viktoriia-klopotova;Technika podkładania szablonów dla budowy sztucznych paznokci krok po kroku;99,99;https://img-b.udemycdn.com/course/480x270/2084346_baf0_3.jpg?secure=fv4_p7yHY4E-MCnIj9w7ZQ%3D%3D%2C1607868608
