id;active;category_id;title;slug;headline;price;image
2602122;1;7;Final Cut Pro X  -  Sprawna i Szybka Edycja Wideo - Polski;final-cut-pro-sprawna-i-szybka-edycja-wideo;Stwórz własne filmy w szybkim i efektywnym  programie dzięki praktycznym wskazówkom. Kurs po polsku.;69,99;https://img-a.udemycdn.com/course/480x270/2602122_55ab.jpg?z-FnxWwji3aXEiGAv1jHm3MHSxoicJUuRiYEoeIRA1srwtBANbwXOTh1HI97Qrq6oyAnI_3SpSceKoGh_r5q8s31RHe1LDw3iGJbZ1DDSYcQ4Kzjp4Ej29WLSoFMTg
1465716;1;8;Kurs tworzenia planów i wizualizacji nieruchomości;kurs-tworzenia-planow-i-wizualizacji-nieruchomosci;z wykorzystaniem bezpłatnego oprogramowania;84,99;https://img-a.udemycdn.com/course/480x270/1465716_02a4_2.jpg?Veqj3O3q8FKvPb38HEvJ2dEPXtA5ng6i67D1ulLQF6YWlVNoJ1p9jz_V3xy2zca9AusHnQdM7FkeeNTJcb-9LBattSzOf0_poScTO1PcKAw5nemPMwfPfaKeP3su74Yf
3385030;1;8;Twinmotion od Podstaw - Rendering Projektowanie Architekt;twinmotion-od-podstaw;Aranżacja wnętrz Rendering Real-Time oraz Funkcjonalność Twinmotion przy użyciu Plug-inów Sketchup;69,99;https://img-a.udemycdn.com/course/480x270/3385030_d0d2_3.jpg?ZXbq8UVEZeaLWvvRfgjz4hFFPH95DTOCfDJHFobGwFUF7CfX-e5cMFK48ibJC_rIC2RYH9xaXiQSBocYYj7hG9LE6MGxv31O30Jeo_x9GsCSTfKC4-k50lM5XwEhIDJ8
2641206;1;8;Kurs Autodesk Inventor 2019 dla początkujących;kurs-autodesk-inventor-2019-dla-poczatkujacych;Naucz się Inventora od zera. Poznaj program aby tworzyć własne projekty.;99,99;https://img-a.udemycdn.com/course/480x270/2641206_bdde.jpg?S2dCITd86xFi6ea-nH7zb_EGsvab71SWBtm4y2rk6w0fpAbNSY9E7eG4FEu1mXbZyL2LsWUEF_mD8C5TwSQbccsY2PBeZL-9rQ-xF4Sk60Ta5KJHJNYteWVOPfjBvg
2742232;1;8;Kurs Autodesk Fusion 360 dla początkujących;kurs-autodesk-fusion-360-dla-poczatkujacych;Ten kurs stanowi fundament pracy z programem Fusion 360;129,99;https://img-b.udemycdn.com/course/480x270/2742232_126f.jpg?secure=vNUy4SQp_7gH70ltAsnNkw%3D%3D%2C1607878334
1764458;1;8;Lumion 10 Kurs Kompendium;lumion-8-kurs-kompendium-pl;Pełne szkolenie z programu Lumion;129,99;https://img-b.udemycdn.com/course/480x270/1764458_85a2_2.jpg?secure=G9oejCp7F46Ft0ym2-63fA%3D%3D%2C1607878334
1882922;1;8;Kurs AutoCAD;kurs-autocad;sam tworzę profesjonalne projekty;599,99;https://img-a.udemycdn.com/course/480x270/1882922_3ecd.jpg?kzTmOtivsvr8YoC_buYtKj00DYitdk7XDng00un_5uBHWBcXg2rJfh3G_1t6BQe4x5Uq2ps8mDVfvZ0tSl9gILeS2TkvwRZByr2eS6-sBKOgU5myebd6imx5DsiK1w
2609310;1;8;Kurs wizualizacja mieszkania w Sweet Home 3d;kurs-wizualizacja-mieszkania-w-sweet-home-3d;Zaprojektuj swoje własne wnętrze mieszkania wyznacz ściany dodaj okna i drzwi. Stwórz wnętrze mieszkania w Sweet Home;84,99;https://img-a.udemycdn.com/course/480x270/2609310_f1ea.jpg?3I3cZ23Yis5Z9uCIVfzcTn8afMeBGPZ12Gi1PkkwsOpDnM2g9SxutoPsw7gqM4mGnvQB7dulCEGvMNyvl_h3zmrJJsayKG64TtmZl6QrKg3_cvnpyX45grTyY78w1Q
2172800;1;10;Uzupełnienie paznokci. Metoda żelowa;uzupelnienie-paznokci-metoda-zelowa;Poprawne techniki uzupełniania sztucznych paznokci metodą żelową.;299,99;https://img-a.udemycdn.com/course/480x270/2172800_9ea4_2.jpg?F8qRGeXDMU8RMD_-bEYh6cT_jkXs0Cy-5Iilq3Lxi2aEoNz-mtY_c4z_wcggRg-C2AbyMK0SNzNJGEQ2LgMKFOMp8VNwbXXzf1k03hh6ui_gZFwzGR_Dd5v8jF46EVBd
3450230;1;10;Kreska krok po kroku - Poradnik dla wizażystów;kreska-krok-po-kroku-poradnik-dla-wizazystow;Poradnik dla wizażystów;84,99;https://img-a.udemycdn.com/course/480x270/3450230_bb0c.jpg?3pSx52LTzGNgxfToJ5hCin8Dg832ayG6-58KWMKD0KdR4uXnHJSowgnfn-cvhtIOmCkn9A-Fl5xnn6WcufEc9kOuCCF0WvZWhB1APumMseCOqTR8kFqNEW1L937B5g
2114084;1;10;Aplikacja paznokci lakierami oraz hybrydami;aplikacja-paznokci-lakierami-oraz-hybrydami;Pokrycie paznokci lakierami oraz hybrydami w technice jednolitej oraz Francuzki manicure.;69,99;https://img-a.udemycdn.com/course/480x270/2114084_a1db.jpg?ftJYoXJlKIXnAoiJHYPqYcyrplilkw4scfTWUCrpjWPhj88MqOFgwu-DucMkg8z-zJ1FNi6SvKBwM-Vd1vfLdQhD8KFCr225rlKF5B62PHEVGl66eOO2Kv7J7p4WBw
3119878;1;10;Kurs fryzjera - Nauka strzyżenia męskiego w domu;kurs-fryzjera-nauka-strzyzenia-meskiego-w-domu;Nauka ścinania włosów dla każdego;84,99;https://img-a.udemycdn.com/course/480x270/3119878_6cb4_3.jpg?iTxTfWj4exXHS3dwz-BNytufeSGkRLDWAIHE6iU2IsovwHSaJSOW8gGpN2gv7545pME9wOPFErgQiLIBmd7bWcFDfrCiP0jE-hE4CfmGFwpq0otBtEDd-bZh9T2q0TCd
