306360,2,How to Read Financial Statements:  Build Financial Literacy.,learn-how-to-read-financial-statements,Read financial statements and speak the language of business without the drudgery  of a traditional accounting course,84.99,3/0/6/3/6/0/learn-how-to-read-financial-statements.jpg
576946,2,Introduction to bookkeeping and Accounting,introduction-to-bookkeeping-and-accounting,"Introduction to Bookkeeping and Accounting, Assets, liabilities, I&E and the Accounting equation",114.99,5/7/6/9/4/6/introduction-to-bookkeeping-and-accounting.jpg
1335422,2,Introduction to Managerial Accounting,introduction-to-cost-accounting,Introduction to accounting for managers and MBA students. Learn managerial and cost accounting.,329.99,1/3/3/5/4/2/2/introduction-to-cost-accounting.jpg
596598,2,Basic Excel for Basic Bookkeeping and Accounting,basic-excel-for-basic-bookkeeping,"Learn the basics of Excel, the very basics of bookkeeping, and how you can do simple and basic bookkeeping in Excel.",299.99,5/9/6/5/9/8/basic-excel-for-basic-bookkeeping.jpg
866584,2,Advanced Accounting A Complete Study for CA/CMA/CFA/ACCA/CS,branch-accounts-a-complete-analysis,Prepare yourself for Advanced Accountancy Paper on CA / CMA / CS / B.Com Courses as well to acquire practical knowledge,529.99,8/6/6/5/8/4/branch-accounts-a-complete-analysis.jpg
298044,2,Accounting for everyone! ,accounting-for-everyone,Accounting the way corporate bankers see it,114.99,2/9/8/0/4/4/accounting-for-everyone.jpg
421054,2,Basics of Auditing A Complete Study,basics-of-auditing,Learn the fundamentals of auditing to excel in accounting and auditing career,479.99,4/2/1/0/5/4/basics-of-auditing.jpg
1289216,3,Video Marketing & Facebook Video Ads Mastery,video-marketing-facebook-video-ads-mastery,"Learn how to leverage the power of video marketing, social media and Facebook to launch successful video ads campaigns.",449.99,1/2/8/9/2/1/6/video-marketing-facebook-video-ads-mastery.jpg
260388,3,Free MailChimp Mailing List Building and Email Marketing,mailchimp2,"Free MailChimp email marketing: MailChimp campaigns, list building, autoresponder mailing automation + A/B split testing",69.99,2/6/0/3/8/8/mailchimp2.jpg
1947782,3,ManyChat Chatbot : Build a FB Chatbot Messenger Marketing,manychat-chatbot-build-a-fb-chatbot-messenger-marketing,Manychat Chatbot course for learning the secrets of earning from building facebook messenger chat bots without coding,69.99,1/9/4/7/7/8/2/manychat-chatbot-build-a-fb-chatbot-messenger-marketing.jpg
1175526,3,Facebook Ads Profit Bootcamp: Covert Ads into Sales!,facebookadvertising,Learn everything you need to know about Facebook Advertising and create high performing Ads that convert to Sales!,479.99,1/1/7/5/5/2/6/facebookadvertising.jpg
761448,3,(NEW) How to optimise your Facebook & Instagram Ad Campaigns,how-to-optimise-your-facebook-instagram-ad-campaigns,"Learn how to optimise your ad sets, budget, ad creatives and bidding from an official Facebook Marketing Partner!",449.99,7/6/1/4/4/8/how-to-optimise-your-facebook-instagram-ad-campaigns.jpg
365852,3,Increase Revenue From Website Visitors Using Link Redirectio,how-to-double-your-adsense-income-from-a-wordpress-website,Learn How To Use External Links Page Redirection with Adsense complete step by step guide.,479.99,3/6/5/8/5/2/how-to-double-your-adsense-income-from-a-wordpress-website.jpg
573994,3,The Complete MailChimp Email Marketing Course,mailchimp-email-marketing,"Learn how to use Mailchimp, grow an email subscriber list and build high quality email marketing campaigns!",159.99,5/7/3/9/9/4/mailchimp-email-marketing.jpg
47214,3,How The Online Advertising Industry Works,how-the-online-advertising-industry-works,Your comprehensive guide to the online advertising industry ,69.99,4/7/2/1/4/how-the-online-advertising-industry-works.jpg
2073352,3,Ultimate Copywriting Masterclass+Copywriter Master Checklist,complete-copywriting-masterclass-copywriters-checklist,"How to write copy that sells. Learn to write Emails, Facebook Ads, Google ads &advertising content for Digital Marketing",479.99,2/0/7/3/3/5/2/complete-copywriting-masterclass-copywriters-checklist.jpg
1531816,3,Twitter Ads: Twitter Advertising 2020 Certification Course,eazl-twitter-ads-twitter-advertising-certification-course,"Used by Spotify, Pepsi, and Twitter itself! Become a capable Twitter Ads manager & get certified in a short, fun course!",299.99,1/5/3/1/8/1/6/eazl-twitter-ads-twitter-advertising-certification-course.jpg
556946,3,The Complete Banner Ad Course - From Zero to Earning Online,bannerads,"Learn how to create your banners, where to place them and how to earn up to 100 per day with this proven blueprint",299.99,5/5/6/9/4/6/bannerads.jpg
1865300,3,Bing Ads & PPC Advertising: Beginner to Advanced,bing-ads-ppc-advertising,"Bing Ads PPC Guidelines For Dummies, Bing Advertisement Basics, How to Get The Most ROI From Your Bing Ad Campaign",449.99,1/8/6/5/3/0/0/bing-ads-ppc-advertising.jpg
1621534,3,Optimize YOUR Airbnb,optimize-your-airbnb,Strategies That Help Me Rank #1 In Airbnb Search,69.99,1/6/2/1/5/3/4/optimize-your-airbnb.jpg
752438,3,دبلومة إدارة حملات جوجل أدورد الإعلانية,arabic-adwords-advertising-diploma,دبلومة جوجل أدورد لتعلم التسويق و إنشاء و الحملات الاعلانية علي جوجل ادورد باحترافية .,99.99,7/5/2/4/3/8/arabic-adwords-advertising-diploma.jpg
747800,3,(NEW) Master your bidding strategies on Facebook & Instagram,new-facebook-instagram-bidding-and-auction-strategy-2016,Get more results and revenue from your campaigns using custom bidding strategies. Easy step by step instructions!,449.99,7/4/7/8/0/0/new-facebook-instagram-bidding-and-auction-strategy-2016.jpg
1669754,3,List Building: Attract Quality Subscribers To Your List,list-building-21-tips-and-tricks-to-add-quality-subscribers,The Money Is In The List! Learn 21 Tips and Strategies To Add Quality Subscribers to Your List Building,69.99,1/6/6/9/7/5/4/list-building-21-tips-and-tricks-to-add-quality-subscribers.jpg
895932,3,The Complete Guide To Paid Traffic Sources,the-complete-guide-to-paid-traffic-sources,How Paid Traffic Works and What You Need To Know In Order To Succeed With It,479.99,8/9/5/9/3/2/the-complete-guide-to-paid-traffic-sources.jpg
2022874,3,Adsense Arbitrage : Build a Professional Arbitrage Website,how-to-create-adsense-arbitrage-site,Complete guide to build a successful Adsense arbitrage site & professional content research and monetization strategies,69.99,2/0/2/2/8/7/4/how-to-create-adsense-arbitrage-site.jpg
1024734,3,Super Easy Google Adsense Method - 2020,super-easy-google-adsense-method-2016,Easy Google Adsense (or any CPC) method that makes profit without regular content writing.,189.99,1/0/2/4/7/3/4/super-easy-google-adsense-method-2016.jpg
2149054,3,Facebook Ads Mastery Course ft. the Triple Threat Strategy,facebook-ads-mastery-course-ft-the-triple-threat-strategy,Drive More Leads and Sales with Facebook Ads,479.99,2/1/4/9/0/5/4/facebook-ads-mastery-course-ft-the-triple-threat-strategy.jpg
1345584,4,Affiliate Marketing 101: The Basics of Affiliate Marketing,affiliate-marketing-tips,Affiliate marketing is one of the best ways to monetize existing or new content and traffic sources.,479.99,1/3/4/5/5/8/4/affiliate-marketing-tips.jpg
1609890,4,Affiliate marketing: Fundamentals and advanced strategies,fundamentals-and-advanced-strategies-of-affiliate-marketing,From The Beginning To The Advanced Strategies Of Affiliate Marketing – Get An Amazon Affiliate Marketing - Free eBook,479.99,1/6/0/9/8/9/0/fundamentals-and-advanced-strategies-of-affiliate-marketing.jpg
1617604,4,Affiliate marketing for beginners: Get traffic and sales,affiliate-marketing-for-beginners-get-traffic-and-sales,Learn how to promote affiliate links to get passive income online,479.99,1/6/1/7/6/0/4/affiliate-marketing-for-beginners-get-traffic-and-sales.jpg
1457798,4,Amazon Affiliates Mastermind: Build Authority Sites,amazon-affiliates-mastermind,Learn How to Create Amazon Authority Sites With the Proven Strategies I Present You in My Course!,599.99,1/4/5/7/7/9/8/amazon-affiliates-mastermind.jpg
409030,4,Affiliate Marketing Advanced:  Sell T-Shirts With Teespring,sell-t-shirts-with-teespring-advanced,The advanced strategies that I use to to successfully sell t-shirts using Teespring and Facebook.,299.99,4/0/9/0/3/0/sell-t-shirts-with-teespring-advanced.jpg
2791688,4,How to earn with Blogging in 2020 [ LIVE Step-by-Step ],how-to-earn-with-blogging-in-2020-live-step-by-step,This course is all you need to set up your blog and implement ways to earn from it. Updated Course for 2020,69.99,2/7/9/1/6/8/8/how-to-earn-with-blogging-in-2020-live-step-by-step.jpg
1663640,4,Affiliate Marketing: Launch Jacking,step-by-step-affiliate-marketing-launch-jacking,A beginners guide to Affiliate Marketing,69.99,1/6/6/3/6/4/0/step-by-step-affiliate-marketing-launch-jacking.jpg
1885484,4,YouTube Success : How To Make Money With Youtube Marketing,youtube-success-affiliate-marketing-without-a-website,Youtube Marketing Strategy Success : Beat Google & Youtube : Youtube Success : How To Make Money With Youtube Marketing,69.99,1/8/8/5/4/8/4/youtube-success-affiliate-marketing-without-a-website.jpg
875410,4,The Complete Beginners Bootcamp To Affiliate Marketing,the-complete-beginners-bootcamp-to-affiliate-marketing,An Introduction And Crash Course In Affiliate Marketing Using Pay Per Click Advertising,479.99,8/7/5/4/1/0/the-complete-beginners-bootcamp-to-affiliate-marketing.jpg
2545853,4,7 Figure Secrets - How To Profit From Internet Like a #BOSS,7-figure-secrets-how-to-profit-from-internet-like-a-boss,Alex Zubarev Story. MLM Network Marketing Sales Leader And Team Builder in 24 countries. Top Affiliate. Coach. Speaker.,479.99,2/5/4/5/8/5/3/7-figure-secrets-how-to-profit-from-internet-like-a-boss.jpg
406768,4,All-Levels Tutorial on Affiliate Marketing and Ads,affiliate-marketing-master-business-on-autopilot,Affiliate Marketing + Ads = the keys to a successful business.,69.99,4/0/6/7/6/8/affiliate-marketing-master-business-on-autopilot.jpg
422072,4,Learn How To Build A Buyers Email List On Autopilot,listbuilding,An amazing course to learn how to build your buyers list on autopilot with a very simple method. ,159.99,4/2/2/0/7/2/listbuilding.jpg
700242,4,Online Affiliate Marketing: Guide to Posting Classified Ads,classified-ads-income-the-case-study-of-my-affiliate-income,Step-by-step guide for posting classified ads to create a business.,69.99,7/0/0/2/4/2/classified-ads-income-the-case-study-of-my-affiliate-income.jpg
276084,4,Amazon Affiliates: Easily Create Your Own Amazon eStores Now,amazon-affiliates-easily-create-your-own-amazon-estores-now,Amazon Affiliate Store Creation Course | Follow This No Nonsense Course & Build Your Own E-coms Stores With NO Coding,234.99,2/7/6/0/8/4/amazon-affiliates-easily-create-your-own-amazon-estores-now.jpg
1194782,4,How To Create Your Own Money Making Affiliate Marketing Site,blogging-passive-income-for-the-absolute-beginner,Your Step By Step Blueprint For Setting Up Your Very First Blog For FREE ... START TODAY !,69.99,1/1/9/4/7/8/2/blogging-passive-income-for-the-absolute-beginner.jpg
1466262,4,The Ultimate ClickFunnels Super Affiliate Training,the-ultimate-clickfunnels-super-affiliate-training,Easiest software ever! Use ClickFunnels and make bank while using it. Share your sales funnels publicly and profit!,329.99,1/4/6/6/2/6/2/the-ultimate-clickfunnels-super-affiliate-training.jpg
765880,4,Online Freelancing- How We Find Demand For Simple Services,simple-freelancing-profits-an-easy-50-or-more-per-hour,Discover UNTAPPED markets that WANT your skills you already have or can EASILY pick up inside of a weekend,69.99,7/6/5/8/8/0/simple-freelancing-profits-an-easy-50-or-more-per-hour.jpg
631124,4,CPA Marketing Strategies and Tips for Complete Beginners,cpa-and-affiliate-marketing-blueprint,How to run your own home business using CPA marketing in less than 30 days with zero experience or technical skills.,69.99,6/3/1/1/2/4/cpa-and-affiliate-marketing-blueprint.jpg
1433214,4,The Beginner's Guide to Amazon Affiliate Marketing Profits,the-beginners-guide-to-amazon-affiliate-marketing-profits,Marketing with Amazon's web services has become easier than ever. Get started today and learn the basics to success.,299.99,1/4/3/3/2/1/4/the-beginners-guide-to-amazon-affiliate-marketing-profits.jpg
1333022,4,ClickBank Affiliate Marketing Using Free YouTube Traffic,clickbank-success-make-money-using-free-youtube-traffic,Legally Steal YouTube Traffic & Drive It To Your ClickBank Offers - Make ClickBank Affiliate Commissions,299.99,1/3/3/3/0/2/2/clickbank-success-make-money-using-free-youtube-traffic.jpg
868176,5,Mac Pages: Mastering Apple's Word Processing App,mac-pages,Learn the ins and outs of how to use your Mac’s word processor.,129.99,8/6/8/1/7/6/mac-pages.jpg
819920,5,Mac Keynote: Creating Presentations On Your Mac,learning-mac-keynote,"Learn how to build presentations for work, school, online videos or personal projects.",129.99,8/1/9/9/2/0/learning-mac-keynote.jpg
796322,5,iMovie - Video editing for beginners on Mac OS.,imovie-course,"Get the basics of iMovie first, then become an imovie master. The complete iMovie course designed for beginners.",479.99,7/9/6/3/2/2/imovie-course.jpg
1030308,5,Keynote Presentation - Learn To Build an Intro Video,keynote-animation-learn-to-build-an-intro-or-promo-video,Learn about Keynote animation to create an awesome presentation and an intro video for your business.,69.99,1/0/3/0/3/0/8/keynote-animation-learn-to-build-an-intro-or-promo-video.jpg
589988,5,The Mac OS X Productivity Course by MacDojo,apple-mac-osx-productivity-course-macdojo,Professional Quality OS X Productivity Training,99.99,5/8/9/9/8/8/apple-mac-osx-productivity-course-macdojo.jpg
450478,5,"Siri Basics for iPhone, iPad, Macs, & iWatch. Need to know!",siri-personal-assistant-in-your-pocket,Have Siri as your personal assistant 24/7 - Saves you time & increases productivity. You'll use the tips ALL the time!,69.99,4/5/0/4/7/8/siri-personal-assistant-in-your-pocket.jpg
767016,5,Mac Numbers: Creating and Using Spreadsheets On Your Mac,mac-numbers,"Build spreadsheets, perform calculations, create charts and design forms with practical examples.",129.99,7/6/7/0/1/6/mac-numbers.jpg
565356,5,Apple Watch: The ultimate user and decision guide,apple-watch-the-ultimate-guide,Explore if an Apple Watch is the right choice for you. Learn when to use the watch and when to use the iPhone or iPad.,144.99,5/6/5/3/5/6/apple-watch-the-ultimate-guide.jpg
374354,5,Simplify your Digital Life,simplify-your-digital-life,Do you feel overwhelmed by the amount of data on your computer? Get rid of the clutter and increase your productivity.,129.99,3/7/4/3/5/4/simplify-your-digital-life.jpg
94606,5,Learn how to use iOS7 for your iPhone in 1 hour,learn-how-to-use-ios7-for-your-iphone-in-1-hour,Most of John Bura's courses are on sale for 9 dollars! https://www.udemy.com/u/johnbura/ Sale ends Oct 31 2013! Act now!,69.99,9/4/6/0/6/learn-how-to-use-ios7-for-your-iphone-in-1-hour.jpg
36848,5,Mastering Your iPhone,mastering-your-iphone,Learn dozens of iPhone tips & tricks to help you get the most from your Apple iPhone,69.99,3/6/8/4/8/mastering-your-iphone.jpg
43256,5,How to create an awesome demo video in Keynote,how-to-create-an-awesome-animation-in-keynote,Learn to animate a cool demo video for your business with just Keynote easily with this Keynote tutorial,449.99,4/3/2/5/6/how-to-create-an-awesome-animation-in-keynote.jpg
164978,5,Master Your iPhone and Be 10X More Productive,master-your-iphone-and-be-10x-more-productive,"Learn how to be 10 times more productive with your iPhone, even if you're already a heavy mobile user.",129.99,1/6/4/9/7/8/master-your-iphone-and-be-10x-more-productive.jpg
32638,5,Mac Dojo - Professional Mavericks OS X Productivity Training,mac-dojo-apple-productivity-tips-keyboard-shortcuts,Double Your Mac OS X Productivity With These Instant Shortcuts & Techniques,84.99,3/2/6/3/8/mac-dojo-apple-productivity-tips-keyboard-shortcuts.jpg
1428694,5,Apple Mac Basics - The Complete Course for beginners,apple-mac-os-the-complete-course,The beginner guide to Apple Mac OS. Get the most out of your New Apple Mac.,159.99,1/4/2/8/6/9/4/apple-mac-os-the-complete-course.jpg
151064,5,Getting started with an Apple Computer for beginners ,getting-started-with-an-apple-computer-for-beginners,Learn how to use your Mac like a real Mac Daddy or Mama,69.99,1/5/1/0/6/4/getting-started-with-an-apple-computer-for-beginners.jpg
22489,5,One on One Apple Personal Training for (MAC)  ,professionalize-your-experience-with-your-mac,New to Macintosh? Converting from Windows? Let me put you on the fast track to learning how to use your Mac. (Advance),84.99,2/2/4/8/9/professionalize-your-experience-with-your-mac.jpg
247642,5,Master ScreenFlow From Scratch,master-screenflow-from-scratch,Learn how to use all the advanced and latest features of ScreenFlow and master ScreenFlow with no knowledge at all!,159.99,2/4/7/6/4/2/master-screenflow-from-scratch.jpg
29531,5,Learning Apple Mac OS X Mountain Lion (10.8) Tutorial Video,learning-apple-mac-os-x-mountain-lion-108,Step-by-step video based tutorial on OS X Mountain Lion. Offers an excellent insight into OS X 10.8 ,159.99,2/9/5/3/1/learning-apple-mac-os-x-mountain-lion-108.jpg
226718,5,Productivity for Mac Users: 10x Your Productivity,mac-keyboard-shortcuts,Shortcuts and Tools to 10x Your Productivity on Your Mac,114.99,2/2/6/7/1/8/mac-keyboard-shortcuts.jpg
2167776,6,ETABS from A to Z - V17 2019 - real existing tower example,etabs-v17-2019-beginner-to-advanced-dubai-tower-example,CSI ETABS 2019 with real existing example using american codes,84.99,2/1/6/7/7/7/6/etabs-v17-2019-beginner-to-advanced-dubai-tower-example.jpg
3258112,6,Post-Production for Architectural Visualization in Photoshop,post-production-for-architectural-visualization-in-photoshop,Learn how to use Photoshop in Architecture in a step by step guide and improve the quality of your renderings.,84.99,3/2/5/8/1/1/2/post-production-for-architectural-visualization-in-photoshop.jpg
1764386,6,Understanding Climate,understanding-climate,"Brush up concepts and learn tools, analysis and applications",144.99,1/7/6/4/3/8/6/understanding-climate.jpg
2563012,6,Acoustical Engineering,acoustical-engineering,"Acoustics, Noise & Vibration Control",299.99,2/5/6/3/0/1/2/acoustical-engineering.jpg
1926310,6,Learn Revit from scratch with a practical example,learn-revit-from-scratch-with-a-practical-example,Revit Architectural,159.99,1/9/2/6/3/1/0/learn-revit-from-scratch-with-a-practical-example.jpg
2708296,6,Exploring Autodesk Revit for Architecture and BIM - Basic,exploring-autodesk-revit-for-architecture-and-bim-basic,"This course is designed for Architects, Interior Designers, Building Information Modelers, and Design Professionals",84.99,2/7/0/8/2/9/6/exploring-autodesk-revit-for-architecture-and-bim-basic.jpg
1308140,6,AutoCAD Drafting - Architecture Design - Practice Test,test-your-autocad-drafting-by-being-an-architect-houses,"Test AutoCAD drafting and in doing so you will learn to draft a house, which represents the difficulty level of course",69.99,1/3/0/8/1/4/0/test-your-autocad-drafting-by-being-an-architect-houses.jpg
2309962,6,Using Revit Mass to Speed Up Building Design Development.,using-revit-mass-to-speed-up-building-design-development,Increase Your Building Design Modeling Dramatically with Revit Massing.,189.99,2/3/0/9/9/6/2/using-revit-mass-to-speed-up-building-design-development.jpg
2985266,6,Intro to Reading Architectural Drawings,intro-to-reading-architectural-drawings,Develop a core skill for architectural design and visualization by learning to read all types of architectural drawings,69.99,2/9/8/5/2/6/6/intro-to-reading-architectural-drawings.jpg
1541900,6,Photoshop Visualisation for Architects,photoshop-visualisation-for-architects,Create a Render with No Render Engines! Just Photoshop,114.99,1/5/4/1/9/0/0/photoshop-visualisation-for-architects.jpg
1691762,6,60 AutoCAD 2D & 3D Drawings and Practical Projects,autocad-practice-drawings-projects,Learn AutoCAD with real 2D & 3D drawings and Projects from different engineering disciplines,99.99,1/6/9/1/7/6/2/autocad-practice-drawings-projects.jpg
1124942,6,Structural Steel Design: Learn the Principles of Design,structural-steel-design,"Understand the foundations and design a laterally supported steel element with ease (bending, axial and shear)",84.99,1/1/2/4/9/4/2/structural-steel-design.jpg
877168,6,Learning Autodesk Revit Structure 2016,learning-autodesk-revit-structure-2016,Building Information Modelling Design and Analysis for Structural Engineering,159.99,8/7/7/1/6/8/learning-autodesk-revit-structure-2016.jpg
593618,6,Tiny House Design Part 1 - Codes and Foundation Selection,tiny-house-design-part-1-codes-and-foundation-selection,A Comprehensive 101,129.99,5/9/3/6/1/8/tiny-house-design-part-1-codes-and-foundation-selection.jpg
1199348,6,The basics of AutoCAD Dynamic Blocks,autocad-dynamic-blocks,Learn to create and modify your own AutoCAD dynamic blocks from scratch,69.99,1/1/9/9/3/4/8/autocad-dynamic-blocks.jpg
2503550,6,Revit Structure + Robot + Advance Steel |3 in 1,autodesk-structural-projects-structure-robot-steel,"Learn how to use AutoDesk Revit, Robot Structural Analysis and Advance Steel for the structural design of buildings.",479.99,2/5/0/3/5/5/0/autodesk-structural-projects-structure-robot-steel.jpg
1778038,6,Integrative Process,-integrative-process,The fundamental step in creating truly sustainable building design,99.99,1/7/7/8/0/3/8/-integrative-process.jpg
1634554,6,Advanced 3DS MAX Modeling : 3D Modeling the (MediaTech),learn-3ds-max-modeling-the-mediatech,"Create stunning 3D houses and models with 3DSMAX, you'll be able to create 3d models in less then 2.5 hours",299.99,1/6/3/4/5/5/4/learn-3ds-max-modeling-the-mediatech.jpg
